city,item,course_type,flagged_color,current_color,in_city_list,confidence,richness_score,spice_level,texture
bangalore,aamras_kadhi,veg_gravy,yellow,yellow,yes,0.569,2,1,saucy
bangalore,aloo_bhindi,veg_dry,red,red,yes,0.569,2,1,dry
bangalore,aloo_bhindi_fry,veg_dry,red,red,yes,0.569,4,1,crisp
bangalore,aloo_capsicum,veg_dry,green,green,yes,0.569,2,1,dry
bangalore,aloo_dum_chicken_biryani,nonveg_main,red,red,yes,0.569,5,1,grainy
bangalore,aloo_ka_bartha,veg_dry,red,red,yes,0.569,2,1,dry
bangalore,aloo_matar_masala,veg_dry,red,red,yes,0.569,2,2,saucy
bangalore,aloo_tiranga_mirch,veg_dry,brown,brown,yes,0.569,2,2,dry
bangalore,ambur_dum_biryani,nonveg_main,red,red,yes,0.569,5,1,grainy
bangalore,andhra_kodi_koora,nonveg_main,red,red,yes,0.569,2,3,saucy
bangalore,andhra_style_chicken_dum_biryani,nonveg_main,red,red,yes,0.569,5,3,grainy
bangalore,andhra_style_mushroom_dum_biryani,rice,yellow,yellow,yes,0.569,4,2,grainy
bangalore,andhra_style_veg_biryani,rice,yellow,yellow,yes,0.569,4,2,grainy
bangalore,arbi_fry,veg_dry,yellow,yellow,yes,0.569,4,1,crisp
bangalore,bell_pepper_fried_rice,rice,brown,brown,yes,0.569,4,1,crisp
bangalore,bengali_chicken,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,bengali_chicken_biryani,nonveg_main,red,red,yes,0.569,5,1,grainy
bangalore,bengali_chicken_masala,nonveg_main,red,red,yes,0.569,3,2,saucy
bangalore,bengali_mutter_ghooni_chaat,starter,yellow,yellow,yes,0.569,2,1,crisp
bangalore,bhaji,veg_gravy,green,green,yes,0.569,2,1,saucy
bangalore,bhindi_masala_fry,veg_dry,red,red,yes,0.569,4,2,crisp
bangalore,bhuna_chicken_masala,nonveg_main,red,red,yes,0.569,3,2,saucy
bangalore,bhuna_murgh_masala,nonveg_main,red,red,yes,0.569,3,2,saucy
bangalore,bisibele_bath,rice,brown,brown,yes,0.569,2,0,grainy
bangalore,bisibele_bath_with_khara_boondi,rice,brown,brown,yes,0.569,2,0,grainy
bangalore,black_chana_kadhi,veg_gravy,yellow,yellow,yes,0.569,2,1,saucy
bangalore,black_chana_tariwala,veg_gravy,red,red,yes,0.569,2,1,saucy
bangalore,boiled_chickpea,salad,green,green,yes,0.569,1,0,fresh
bangalore,boiled_corn,salad,green,green,yes,0.569,1,0,fresh
bangalore,boondi_ladoo,dessert,brown,brown,yes,0.569,5,0,soft
bangalore,brinji_rice,rice,brown,brown,yes,0.569,2,0,grainy
bangalore,brown_rice_kanji,healthy_rice,brown,brown,yes,0.569,2,0,grainy
bangalore,cabbage_battani_masala,veg_dry,red,red,yes,0.569,2,2,saucy
bangalore,cabbage_chana_kootu,veg_dry,red,red,yes,0.569,2,1,dry
bangalore,cabbage_foogath,veg_dry,green,green,yes,0.569,2,1,dry
bangalore,cabbage_mutter_bhaji,veg_dry,green,green,yes,0.569,2,1,dry
bangalore,cabbage_tamater_chaat_pata,veg_dry,green,green,yes,0.569,2,1,crisp
bangalore,calicut_chicken_biryani,nonveg_main,red,red,yes,0.569,5,1,grainy
bangalore,capsicum_bath,rice,brown,brown,yes,0.569,2,0,grainy
bangalore,capsicum_corn_masala,veg_gravy,red,red,yes,0.569,2,2,saucy
bangalore,capsicum_ennegayi,veg_gravy,green,green,yes,0.569,2,1,saucy
bangalore,capsicum_masala_rice,rice,red,red,yes,0.569,2,1,saucy
bangalore,capsicum_rice_bath,rice,brown,brown,yes,0.569,2,0,grainy
bangalore,celery_and_watermelon_infused_water,infused_water,red,red,yes,0.569,1,0,fresh
bangalore,chandra_kala,dessert,red,red,yes,0.569,4,0,soft
bangalore,chicken_555,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,chicken_adraki,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,chicken_angara,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,chicken_bean_soup,nonveg_soup,red,red,yes,0.569,1,1,saucy
bangalore,chicken_bhuna_masala,nonveg_main,red,red,yes,0.569,3,2,saucy
bangalore,chicken_broth_soup,nonveg_soup,red,red,yes,0.569,1,1,saucy
bangalore,chicken_butter_masala,nonveg_main,red,red,yes,0.569,5,1,saucy
bangalore,chicken_cafreal,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,chicken_donne_biryani,nonveg_main,red,red,yes,0.569,5,1,grainy
bangalore,chicken_kali_mirch,nonveg_main,red,red,yes,0.569,3,2,saucy
bangalore,chicken_lahori,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,chicken_minestrone_soup,nonveg_soup,red,red,yes,0.569,1,1,saucy
bangalore,chicken_mulligatawny,nonveg_soup,red,red,yes,0.569,3,1,saucy
bangalore,chicken_noodles_soup,nonveg_soup,red,red,yes,0.569,1,1,saucy
bangalore,chicken_paprikash,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,chicken_patiyala,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,chicken_pepper_masala,nonveg_main,red,red,yes,0.569,3,2,saucy
bangalore,chicken_pho_soup,nonveg_soup,red,red,yes,0.569,1,1,saucy
bangalore,chicken_pot_pie_soup,nonveg_soup,red,red,yes,0.569,1,1,saucy
bangalore,chicken_saagwala,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,chicken_sausage,nonveg_soup,red,red,yes,0.569,3,1,saucy
bangalore,chicken_shorba,nonveg_soup,red,red,yes,0.569,3,1,saucy
bangalore,chicken_tortilla_soup,nonveg_soup,red,red,yes,0.569,1,1,saucy
bangalore,chicken_tukpa,nonveg_soup,red,red,yes,0.569,3,1,saucy
bangalore,chicken_urathiyal,nonveg_main,red,red,yes,0.569,3,1,saucy
bangalore,chow_mein,rice,green,green,yes,0.569,2,0,saucy
bangalore,cinnamon_and_celery_detox_water,infused_water,yellow,yellow,yes,0.569,1,0,fresh
bangalore,corn_ambode,starter,green,green,yes,0.569,2,1,crisp
bangalore,corn_capsicum_fried_rice,rice,brown,brown,yes,0.569,4,0,crisp
bangalore,corn_chaat,salad,green,green,yes,0.569,1,0,crisp
bangalore,corn_cheese_tikki,starter,red,red,yes,0.569,3,1,crisp
bangalore,corn_fried_rice,rice,brown,brown,yes,0.569,4,0,crisp
bangalore,creamy_lamcha,dessert,brown,brown,yes,0.569,4,0,soft
bangalore,cucumber_and_chiya_seetd_spa_water,infused_water,green,green,yes,0.569,1,0,fresh
bangalore,cucumber_and_lemon_detox_water,infused_water,yellow,yellow,yes,0.569,1,0,fresh
bangalore,cucumber_and_lemon_water,infused_water,yellow,yellow,yes,0.569,1,0,fresh
bangalore,detox_water,welcome_drink,yellow,yellow,yes,0.569,1,0,fresh
bangalore,dhaniawala_murgh_masala,nonveg_main,red,red,yes,0.569,3,2,saucy
bangalore,dhokla_with_chutney,starter,brown,brown,yes,0.569,2,1,soft
bangalore,dijon_chicken,nonveg_main,red,red,yes,0.569,3,1,saucy
