city,item,course_type,why_not_filled,cuisine_family
ncr,aachari_petha,dessert,no evidence,
ncr,achari_hara_petha,dessert,no evidence,
ncr,achari_laccha_pyaj,salad,carries a chinese/continental flag,
ncr,achari_onion_salad,salad,carries a chinese/continental flag,
ncr,achari_petha,dessert,no evidence,
ncr,achari_petha_masala,dessert,no evidence,
ncr,achari_pyaz,salad,carries a chinese/continental flag,
ncr,achari_pyaza,salad,carries a chinese/continental flag,
ncr,agar_ka_petha,dessert,no evidence,
ncr,aloo_chana_chaat,salad,carries a chinese/continental flag,
ncr,aloo_dahi_wala,curd_side,no evidence,
ncr,aloo_jeera_raita,curd_side,no evidence,
ncr,aloo_raita,curd_side,no evidence,
ncr,aloo_tadka_raita,curd_side,no evidence,
ncr,amchoori_karela,veg_dry,no evidence,
ncr,anna_salad,salad,carries a chinese/continental flag,
ncr,arbi_dahi_wali,curd_side,no evidence,
ncr,atta_ladoo,dessert,no evidence,
ncr,badami_halwa,dessert,no evidence,
ncr,badami_moong_dal_barfi,dessert,no evidence,
ncr,bananacake,dessert,no evidence,
ncr,barfi,dessert,no evidence,
ncr,beetroot_raita_witrh_kari_leave_rai_tadka,curd_side,no evidence,
ncr,beetroot_sirka_onion,salad,carries a chinese/continental flag,
ncr,bharwa_karela,veg_dry,no evidence,
ncr,bhelpuri_salad,salad,carries a chinese/continental flag,
ncr,bhindi_ki_sabzi,veg_dry,no evidence,
ncr,bhindi_pyaaz_masala,veg_dry,no evidence,
ncr,bikaneri_barfi,dessert,no evidence,
ncr,bikanri_barfi,dessert,no evidence,
ncr,boiled_hara_moong_salad,salad,carries a chinese/continental flag,
ncr,bottlegourd_raita,curd_side,no evidence,
ncr,brown_bread_veg_cole_slaw_sandwich,salad,carries a chinese/continental flag,
ncr,carrot_and_peas_salad,salad,carries a chinese/continental flag,
ncr,chana_flaxseed_barfi,dessert,no evidence,
ncr,chatpata_petha,dessert,no evidence,
ncr,chaulai_ke_ladoo,dessert,no evidence,
ncr,chicken_fried_rice,nonveg_main,no evidence,
ncr,chilli_chiken,veg_gravy,carries a chinese/continental flag,
ncr,chilli_soya_chunk_gravy,veg_gravy,carries a chinese/continental flag,
ncr,chilly_garlic_macroni,salad,carries a chinese/continental flag,
ncr,chopped_salad,salad,carries a chinese/continental flag,
ncr,coconut_chutney_tomato_chutney,salad,carries a chinese/continental flag,
ncr,corn_n_peanut_salad,salad,carries a chinese/continental flag,
ncr,corn_on_the_cob,salad,carries a chinese/continental flag,
ncr,corn_on_the_cobe,salad,carries a chinese/continental flag,
ncr,corn_pepper_salad,salad,carries a chinese/continental flag,
ncr,corn_relish,salad,carries a chinese/continental flag,
ncr,creamy_mint_cucumber,veg_gravy,carries a chinese/continental flag,
ncr,creamy_onion_salad,salad,carries a chinese/continental flag,
ncr,creamy_palak_corn,veg_gravy,carries a chinese/continental flag,
ncr,crisp,veg_gravy,carries a chinese/continental flag,
ncr,cube_green_salad,salad,carries a chinese/continental flag,
ncr,cucumber_soup,soup,no evidence,
ncr,dahi_arbi_gravy,curd_side,no evidence,
ncr,dahi_papadi,curd_side,no evidence,
ncr,dhania_masala_raita,curd_side,no evidence,
ncr,dry_fruit_pulao,dessert,no evidence,
ncr,fresh_green,salad,carries a chinese/continental flag,
ncr,fried_aloo_gobi,veg_dry,carries a chinese/continental flag,
