city,item,course_type,client,why_not
bangalore,aamras_kadhi,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,ada_pradanam,dessert,Citrix,no colour-bearing word in the name
bangalore,adraki_dal,dal,Citrix,no colour-bearing word in the name
bangalore,adraki_dal_tadka,dal,Citrix,no colour-bearing word in the name
bangalore,afghani_chicken,nonveg_main,Booking.com,no colour-bearing word in the name
bangalore,afghani_paneer,veg_gravy,Booking.com,no colour-bearing word in the name
bangalore,afghani_veg_biryani,rice,Booking.com,no colour-bearing word in the name
bangalore,agalakayi_sambar,sambar,Citrix,no colour-bearing word in the name
bangalore,ajwain_chapati,bread,"Booking.com,Stripe,Stryker",no colour-bearing word in the name
bangalore,ajwain_chicken_masala,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,ajwain_paratha,bread,"MOengage,Citrix",no colour-bearing word in the name
bangalore,ajwani_puri,bread,MOengage,no colour-bearing word in the name
bangalore,akki_payasam,dessert,Citrix,no colour-bearing word in the name
bangalore,aloo_amarnath_leaves_sabzi,veg_dry,Citrix,no colour-bearing word in the name
bangalore,aloo_and_brinjal_sambar,sambar,"Stryker,Citrix",no colour-bearing word in the name
bangalore,aloo_baigan_bharta,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,aloo_bhaji,veg_dry,Citrix,no colour-bearing word in the name
bangalore,aloo_bhindi,veg_dry,Citrix,no colour-bearing word in the name
bangalore,aloo_bhindi_fry,veg_dry,Citrix,no colour-bearing word in the name
bangalore,aloo_black_chana_curry,veg_gravy,MOengage,no colour-bearing word in the name
bangalore,aloo_black_chana_kurma,veg_gravy,MOengage,no colour-bearing word in the name
bangalore,aloo_capsicum,veg_dry,Citrix,no colour-bearing word in the name
bangalore,aloo_chicken_curry,nonveg_main,MOengage,no colour-bearing word in the name
bangalore,aloo_chilli_c,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,aloo_drumstick_sambar,sambar,Citrix,no colour-bearing word in the name
bangalore,aloo_dum_chicken_biryani,nonveg_main,Stryker,no colour-bearing word in the name
bangalore,aloo_gobhi,veg_gravy,Stripe,no colour-bearing word in the name
bangalore,aloo_gobhi_mutter_dry,veg_dry,MOengage,no colour-bearing word in the name
bangalore,aloo_jeera_roast,veg_dry,Booking.com,no colour-bearing word in the name
bangalore,aloo_ka_bartha,veg_dry,Booking.com,no colour-bearing word in the name
bangalore,aloo_katliyan_dry,veg_dry,Stryker,no colour-bearing word in the name
bangalore,aloo_matar_masala,veg_dry,MOengage,no colour-bearing word in the name
bangalore,aloo_mutter,veg_gravy,"Booking.com,Stripe",no colour-bearing word in the name
bangalore,aloo_mutter_curry,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,aloo_mutter_gassi,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,aloo_patta_gobi_dry,veg_dry,Stryker,no colour-bearing word in the name
bangalore,aloo_slice_bajji,starter,MOengage,no colour-bearing word in the name
bangalore,aloo_slice_pakoda,starter,MOengage,no colour-bearing word in the name
bangalore,aloo_soya_curry,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,aloo_tindli_ki_sabzi,veg_dry,Stryker,no colour-bearing word in the name
bangalore,aloo_tiranga_mirch,veg_dry,Booking.com,no colour-bearing word in the name
bangalore,ambur_dum_biryani,nonveg_main,MOengage,no colour-bearing word in the name
bangalore,amchuri_bhindi_dry,veg_dry,Citrix,no colour-bearing word in the name
bangalore,amla_juice,welcome_drink,Booking.com,no colour-bearing word in the name
bangalore,amritsari_chana_dal,dal,Citrix,no colour-bearing word in the name
bangalore,amritsari_chicken,nonveg_main,MOengage,no colour-bearing word in the name
bangalore,amritsari_chicken_fry,nonveg_main,MOengage,no colour-bearing word in the name
bangalore,amritsari_chicken_masala,nonveg_main,Booking.com,no colour-bearing word in the name
bangalore,amritsari_dal,dal,Citrix,no colour-bearing word in the name
bangalore,amritsari_dal_tadka,dal,Citrix,no colour-bearing word in the name
bangalore,amritsari_mix_veg_dry,veg_dry,Stryker,no colour-bearing word in the name
bangalore,amritsari_pindi_chole,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,amritsari_soya_mutter,veg_dry,Stripe,no colour-bearing word in the name
bangalore,anda_bhuna_masala,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,anda_curry_dry,nonveg_main,MOengage,no colour-bearing word in the name
bangalore,anda_fried_masala,nonveg_main,MOengage,no colour-bearing word in the name
bangalore,anda_kalimirch,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,anda_kurma,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,anda_lazeeza,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,anda_malai_curry,nonveg_main,MOengage,no colour-bearing word in the name
bangalore,andhra_bagara_rice,rice,Citrix,no colour-bearing word in the name
bangalore,andhra_dal_pappu,dal,"Stryker,MOengage",no colour-bearing word in the name
bangalore,andhra_egg_masala,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,andhra_kodi_curry,nonveg_main,Booking.com,no colour-bearing word in the name
bangalore,andhra_kodi_koora,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,andhra_style_chicken_dum_biryani,nonveg_main,MOengage,no colour-bearing word in the name
bangalore,andhra_style_mushroom_dum_biryani,rice,Citrix,no colour-bearing word in the name
bangalore,andhra_style_veg_biryani,rice,"MOengage,Citrix",no colour-bearing word in the name
bangalore,andhra_veg_curry,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,andhra_veg_kurma,veg_gravy,Stryker,no colour-bearing word in the name
bangalore,angoor_jamoon,dessert,Citrix,no colour-bearing word in the name
bangalore,angoori_basundi,dessert,Stripe,no colour-bearing word in the name
bangalore,angoori_rabdi,dessert,Citrix,no colour-bearing word in the name
bangalore,appam_chapati,bread,MOengage,no colour-bearing word in the name
bangalore,apple_and_celery_infused_water,infused_water,Booking.com,no colour-bearing word in the name
bangalore,apple_and_mint_detox_water,infused_water,Booking.com,no colour-bearing word in the name
bangalore,apple_and_pomegranate_infused_water,infused_water,Booking.com,no colour-bearing word in the name
bangalore,apple_cinnamon_water,infused_water,Booking.com,no colour-bearing word in the name
bangalore,apple_mint_cooler,welcome_drink,Booking.com,no colour-bearing word in the name
bangalore,arbi_dry,veg_dry,Citrix,no colour-bearing word in the name
bangalore,arbi_fry,veg_dry,Citrix,no colour-bearing word in the name
bangalore,arbi_lababdar,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,arhar_chana_dal,dal,Stripe,no colour-bearing word in the name
bangalore,asian_crispy_salad,salad,Citrix,no colour-bearing word in the name
bangalore,assorted_bajji,starter,Citrix,no colour-bearing word in the name
bangalore,assorted_garden_fresh_salad,salad,Citrix,no colour-bearing word in the name
bangalore,atta_halwa,dessert,Citrix,no colour-bearing word in the name
bangalore,atta_ke_halwa,dessert,Stripe,no colour-bearing word in the name
bangalore,atta_ki_dry_fruit_pinni,dessert,Booking.com,no colour-bearing word in the name
bangalore,avarekallu_sambar,sambar,MOengage,no colour-bearing word in the name
bangalore,avarekalu_sambar,sambar,"Stryker,Citrix",no colour-bearing word in the name
bangalore,awadhi_chicken_curry,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,awadhi_dal_sultani,dal,Stryker,no colour-bearing word in the name
bangalore,awadhi_paneer_pasnda,veg_gravy,Stryker,no colour-bearing word in the name
bangalore,baby_aloo_chatpata,veg_dry,Booking.com,no colour-bearing word in the name
bangalore,baby_aloo_hing_chatpata,veg_dry,Booking.com,no colour-bearing word in the name
bangalore,baby_corn_chilli,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,baby_corn_chilli_dry,starter,Stryker,no colour-bearing word in the name
bangalore,babycorn_65,veg_dry,"Booking.com,MOengage",no colour-bearing word in the name
bangalore,babycorn_capsicum_do_payza,veg_dry,MOengage,no colour-bearing word in the name
bangalore,babycorn_capsicum_masala,veg_dry,MOengage,no colour-bearing word in the name
bangalore,babycorn_capsicum_sabzi,veg_dry,Citrix,no colour-bearing word in the name
bangalore,babycorn_chili,starter,MOengage,no colour-bearing word in the name
bangalore,babycorn_chilli_dry,veg_dry,Citrix,no colour-bearing word in the name
bangalore,babycorn_dry_with_manchurian_gravy_sauce,starter,Stryker,no colour-bearing word in the name
bangalore,babycorn_fried_rice,rice,Citrix,no colour-bearing word in the name
bangalore,babycorn_manchurian,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,babycorn_mutter_masala,veg_dry,MOengage,no colour-bearing word in the name
bangalore,babycorn_pepper_fry,starter,"MOengage,Citrix",no colour-bearing word in the name
bangalore,babycorn_tawa_masala,veg_dry,Booking.com,no colour-bearing word in the name
bangalore,badushahi,dessert,Booking.com,no colour-bearing word in the name
bangalore,bahji,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,baigan_bharta,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,baingan_gunda,veg_dry,Booking.com,no colour-bearing word in the name
bangalore,baked_veg_momos_in_red_thai_curry_sauce,starter,Stripe,no colour-bearing word in the name
bangalore,balck_chana_masala_dry,veg_dry,Booking.com,no colour-bearing word in the name
bangalore,balekai_bajji,starter,Citrix,no colour-bearing word in the name
bangalore,banana_podimas,veg_dry,Citrix,no colour-bearing word in the name
bangalore,banana_stem_poriyal,veg_dry,Citrix,no colour-bearing word in the name
bangalore,banjara_murgh_dry,nonveg_main,Stripe,no colour-bearing word in the name
bangalore,barista_pulao,rice,"MOengage,Citrix",no colour-bearing word in the name
bangalore,basil_rasam,rasam,Citrix,no colour-bearing word in the name
bangalore,bassuru,dal,MOengage,no colour-bearing word in the name
bangalore,batata_vada,starter,Citrix,no colour-bearing word in the name
bangalore,batate_mushroom_pepper_dry_south_style,veg_dry,Booking.com,no colour-bearing word in the name
bangalore,bautra,bread,Citrix,no colour-bearing word in the name
bangalore,beans_carrot_poriyal,veg_dry,Booking.com,no colour-bearing word in the name
bangalore,beans_mezhukkupuratti,veg_dry,Citrix,no colour-bearing word in the name
bangalore,beans_poriyal,veg_dry,Citrix,no colour-bearing word in the name
bangalore,beetroot_black_chana_palya,veg_dry,"Stripe,Citrix","its words disagree ({'red': 1, 'green': 1})"
bangalore,beetroot_roti,bread,MOengage,"its words disagree ({'red': 1, 'brown': 1})"
bangalore,bell_pepper_fried_rice,rice,Citrix,no colour-bearing word in the name
bangalore,bella_panaka,welcome_drink,Stryker,no colour-bearing word in the name
bangalore,bendekayi_sambar,sambar,Citrix,no colour-bearing word in the name
bangalore,bengali_chicken,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,bengali_chicken_biryani,nonveg_main,Booking.com,no colour-bearing word in the name
bangalore,bengali_chicken_masala,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,bengali_cholar_dal,dal,Booking.com,no colour-bearing word in the name
bangalore,bengali_chorchori_dry,veg_dry,Stryker,no colour-bearing word in the name
bangalore,bengali_egg_curry,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,bengali_mutter_ghooni_chaat,starter,MOengage,no colour-bearing word in the name
bangalore,besan_ladoo,dessert,"Booking.com,MOengage",no colour-bearing word in the name
bangalore,besan_til_laddoo,dessert,Stryker,no colour-bearing word in the name
bangalore,bhaji,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,bhindi_kurkure,veg_dry,Citrix,no colour-bearing word in the name
bangalore,bhindi_masala_dry,veg_dry,Citrix,no colour-bearing word in the name
bangalore,bhindi_masala_fry,veg_dry,MOengage,no colour-bearing word in the name
bangalore,bhindi_sambar,sambar,Citrix,no colour-bearing word in the name
bangalore,bhindi_tamater,veg_dry,MOengage,no colour-bearing word in the name
bangalore,bhuna_anda_masala,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,bhuna_chicken_masala,nonveg_main,Booking.com,no colour-bearing word in the name
bangalore,bhuna_murgh_masala,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,bhuna_pyaz_pulao,rice,Citrix,no colour-bearing word in the name
bangalore,bhune_pyaaz_ka_pulao,rice,"Booking.com,MOengage",no colour-bearing word in the name
bangalore,bihari_dal,dal,Stryker,no colour-bearing word in the name
bangalore,bisibele_bath,rice,Citrix,no colour-bearing word in the name
bangalore,bisibele_bath_with_khara_boondi,rice,Citrix,no colour-bearing word in the name
bangalore,bittergourd_dry,veg_dry,Citrix,no colour-bearing word in the name
bangalore,black_chana_kadhi,veg_gravy,MOengage,no colour-bearing word in the name
bangalore,black_chana_sambar,sambar,Citrix,no colour-bearing word in the name
bangalore,black_chana_tariwala,veg_gravy,Stripe,no colour-bearing word in the name
bangalore,black_eyed_peas_curry,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,black_masoor_tadka,dal,Citrix,no colour-bearing word in the name
bangalore,black_pepper_rasam,rasam,Citrix,no colour-bearing word in the name
bangalore,blueberry_pastry,dessert,Booking.com,no colour-bearing word in the name
bangalore,boiled_chickpea,salad,MOengage,no colour-bearing word in the name
bangalore,boiled_corn,salad,MOengage,no colour-bearing word in the name
bangalore,boiled_peanut_and_cucumber_salad,salad,Stryker,no colour-bearing word in the name
bangalore,bombay_tawa_pulao,rice,Citrix,no colour-bearing word in the name
bangalore,boneless_chicken_in_hot_garlic_sauce,nonveg_main,Stripe,no colour-bearing word in the name
bangalore,boondi_ladoo,dessert,"Booking.com,Stryker,Citrix",no colour-bearing word in the name
bangalore,boondi_raitha,curd_side,Citrix,no colour-bearing word in the name
bangalore,bottle_gourd_sambar,sambar,Citrix,no colour-bearing word in the name
bangalore,bottlegourd_sambar,sambar,"Stryker,Citrix",no colour-bearing word in the name
bangalore,brinji_pulao,rice,"MOengage,Citrix",no colour-bearing word in the name
bangalore,brinji_rice,rice,Booking.com,no colour-bearing word in the name
bangalore,broad_beans_sabzi,veg_dry,Citrix,no colour-bearing word in the name
bangalore,broad_beans_sambar,sambar,Citrix,no colour-bearing word in the name
bangalore,broad_beans_with_aloo_sabzi,veg_dry,Citrix,no colour-bearing word in the name
bangalore,brown_rice_kanji,healthy_rice,Booking.com,no colour-bearing word in the name
bangalore,brown_rice_pulao,healthy_rice,MOengage,no colour-bearing word in the name
bangalore,burani_chicken_biryani,nonveg_main,Booking.com,no colour-bearing word in the name
bangalore,burani_veg_pulao,rice,Booking.com,no colour-bearing word in the name
bangalore,burrito_bowl,starter,Booking.com,no colour-bearing word in the name
bangalore,burwan_shimlamirch,veg_dry,Booking.com,no colour-bearing word in the name
bangalore,butter_chicken_curry,nonveg_main,MOengage,no colour-bearing word in the name
bangalore,butter_chicken_roast,nonveg_main,MOengage,no colour-bearing word in the name
bangalore,butter_chilli_paratha,bread,Citrix,no colour-bearing word in the name
bangalore,butter_dal_masala,dal,Citrix,no colour-bearing word in the name
bangalore,butter_garlic_vegetables,healthy_rice,Booking.com,no colour-bearing word in the name
bangalore,butter_milk_rasam,rasam,Citrix,no colour-bearing word in the name
bangalore,butter_peri_peri_baby_potato,veg_dry,MOengage,no colour-bearing word in the name
bangalore,butter_scotch_ice_cream,dessert,Booking.com,no colour-bearing word in the name
bangalore,c,bread,Citrix,no colour-bearing word in the name
bangalore,cabbage_and_carrot_coleslaw,salad,Citrix,no colour-bearing word in the name
bangalore,cabbage_battani_masala,veg_dry,Citrix,no colour-bearing word in the name
bangalore,cabbage_beans_thoran,veg_dry,Citrix,no colour-bearing word in the name
bangalore,cabbage_carrot_chanadal_thoran,veg_dry,MOengage,no colour-bearing word in the name
bangalore,cabbage_chana_kootu,veg_dry,Citrix,no colour-bearing word in the name
bangalore,cabbage_foogath,veg_dry,Booking.com,no colour-bearing word in the name
bangalore,cabbage_matar_sabzi,veg_dry,Citrix,no colour-bearing word in the name
bangalore,cabbage_mutter_bhaji,veg_dry,Citrix,no colour-bearing word in the name
bangalore,cabbage_mutter_sabzi,veg_dry,Booking.com,no colour-bearing word in the name
bangalore,cabbage_sabzi,veg_dry,Citrix,no colour-bearing word in the name
bangalore,cabbage_tamater_chaat_pata,veg_dry,Citrix,no colour-bearing word in the name
bangalore,cafreal_chicken_gravy,nonveg_main,Booking.com,no colour-bearing word in the name
bangalore,cajun_spiced_vegetables,healthy_rice,Booking.com,no colour-bearing word in the name
bangalore,calicut_chicken_biryani,nonveg_main,Citrix,no colour-bearing word in the name
bangalore,capsicum_bajji,starter,Citrix,no colour-bearing word in the name
bangalore,capsicum_bath,rice,Citrix,no colour-bearing word in the name
bangalore,capsicum_corn_masala,veg_gravy,Booking.com,no colour-bearing word in the name
bangalore,capsicum_ennegayi,veg_gravy,Citrix,no colour-bearing word in the name
bangalore,capsicum_masala_rice,rice,Citrix,no colour-bearing word in the name
bangalore,capsicum_peanut_masala,veg_dry,Citrix,no colour-bearing word in the name
bangalore,capsicum_rice_bath,rice,Citrix,no colour-bearing word in the name
bangalore,capsicum_sambar,sambar,Citrix,no colour-bearing word in the name
bangalore,carrot_and_celery_detox_water,infused_water,Booking.com,no colour-bearing word in the name
bangalore,carrot_and_ginger_juice,welcome_drink,Booking.com,no colour-bearing word in the name
bangalore,carrot_beetroot_kabab,starter,Citrix,"its words disagree ({'red': 1, 'green': 1})"
bangalore,carrot_juice,welcome_drink,Booking.com,no colour-bearing word in the name
bangalore,carrot_kosambari_salad,salad,Citrix,no colour-bearing word in the name
bangalore,carrot_mint_juice,welcome_drink,Booking.com,no colour-bearing word in the name
bangalore,carrot_soup_with_chermoula,soup,Citrix,no colour-bearing word in the name
bangalore,carrot_uttappam_with_chutney,bread,Citrix,no colour-bearing word in the name
bangalore,cashew_pulao,rice,Citrix,no colour-bearing word in the name
bangalore,celery_and_watermelon_infused_water,infused_water,Booking.com,no colour-bearing word in the name
bangalore,chana_chaat_salad,salad,Booking.com,no colour-bearing word in the name
bangalore,chana_dal_masaledar,dal,Citrix,no colour-bearing word in the name
