verdict,city,dish,form,names,courses,proteins,proposed_name,rows_removed_if_merged,why_not_a_merge
DUPLICATE - approve a name to merge,bangalore,achari|bhindi,,achari_bhindi | bhindi_achari,veg_dry,(blank),achari_bhindi,1,
DUPLICATE - approve a name to merge,bangalore,adraki|dal,,adraki_dal | dal_adraki,dal,toor_dal,adraki_dal,1,
DUPLICATE - approve a name to merge,bangalore,afghani|paneer,,afghani_paneer | paneer_afghani,veg_gravy,paneer,afghani_paneer,1,
DUPLICATE - approve a name to merge,bangalore,aloo|drumstick|sambar,,aloo_drumstick_sambar | drumstick_aloo_sambar,sambar,(blank),aloo_drumstick_sambar,1,
DUPLICATE - approve a name to merge,bangalore,aloo|dum,,aloo_dum | dum_aloo,veg_gravy,(blank),aloo_dum,1,
DUPLICATE - approve a name to merge,bangalore,aloo|dum|kashmiri,,dum_aloo_kashmiri | kashmiri_dum_aloo,veg_gravy,(blank),dum_aloo_kashmiri,1,
DUPLICATE - approve a name to merge,bangalore,aloo|gobi|mutter,,aloo_gobi_mutter | gobi_aloo_mutter,veg_dry,(blank),aloo_gobi_mutter,1,
DUPLICATE - approve a name to merge,bangalore,aloo|methi,dry,aloo_methi_dry | methi_aloo_dry,veg_dry,(blank),aloo_methi_dry,1,
DUPLICATE - approve a name to merge,bangalore,aloo|mutter,,aloo_mutter | mutter_aloo,veg_gravy,(blank),aloo_mutter,1,
DUPLICATE - approve a name to merge,bangalore,ambur|veg,biryani,ambur_veg_biryani | veg_ambur_biryani,rice,(blank),ambur_veg_biryani,1,
DUPLICATE - approve a name to merge,bangalore,amritsari|chicken,,amritsari_chicken | chicken_amritsari,nonveg_main,chicken,amritsari_chicken,1,
DUPLICATE - approve a name to merge,bangalore,amritsari|dal,,amritsari_dal | dal_amritsari,dal,(blank),amritsari_dal,1,
DUPLICATE - approve a name to merge,bangalore,andhra|chicken,curry,andhra_chicken_curry | andhra_kodi_curry,nonveg_main,chicken,andhra_chicken_curry,1,
DUPLICATE - approve a name to merge,bangalore,and|beetroot|cucumber,salad,beetroot_and_cucumber_salad | cucumber_and_beetroot_salad,salad,(blank),beetroot_and_cucumber_salad,1,
DUPLICATE - approve a name to merge,bangalore,and|corn|fried|onion|spring,rice,corn_and_spring_onion_fried_rice | spring_onion_and_corn_fried_rice,rice,(blank),corn_and_spring_onion_fried_rice,1,
DUPLICATE - approve a name to merge,bangalore,and|cucumber|lemon|onion,salad,cucumber_onion_and_lemon_salad | onion_cucumber_and_lemon_salad | onion_lemon_and_cucumber_salad,salad,(blank),cucumber_onion_and_lemon_salad,2,
DUPLICATE - approve a name to merge,bangalore,awadhi|chicken|korma,,awadhi_murgh_korma | murgh_awadhi_korma,nonveg_main,chicken,awadhi_murgh_korma,1,
DUPLICATE - approve a name to merge,bangalore,beans|carrot|poriyal,,beans_carrot_poriyal | carrot_beans_poriyal,veg_dry,(blank),beans_carrot_poriyal,1,
DUPLICATE - approve a name to merge,bangalore,beetroot|carrot|cucumber,salad,carrot_beetroot_cucumber_salad | cucumber_carrot_beetroot_salad,salad,(blank),carrot_beetroot_cucumber_salad,1,
DUPLICATE - approve a name to merge,bangalore,bhindi|kurkure,,bhindi_kurkure | kurkure_bhindi,veg_dry,(blank),bhindi_kurkure,1,
DUPLICATE - approve a name to merge,bangalore,bhuna|chicken,masala,bhuna_chicken_masala | bhuna_murgh_masala | chicken_bhuna_masala,nonveg_main,chicken,bhuna_chicken_masala,2,
DUPLICATE - approve a name to merge,bangalore,bhuna|egg,masala,anda_bhuna_masala | bhuna_anda_masala | egg_bhuna_masala,nonveg_main,egg,egg_bhuna_masala,2,
DUPLICATE - approve a name to merge,bangalore,butter|chicken,masala,butter_chicken_masala | chicken_butter_masala,nonveg_main,chicken,butter_chicken_masala,1,
