city,item,course_type,column,why_not
bangalore,aamras_kadhi,veg_gravy,key_ingredient,no word its siblings agree about
bangalore,achari_chicken,nonveg_main,gravy_region,no word its siblings agree about
bangalore,achari_chicken,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,achari_chicken_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,achari_louki_dry,veg_dry,key_ingredient,no word its siblings agree about
bangalore,achari_louki_sabzi,veg_dry,key_ingredient,no word its siblings agree about
bangalore,achari_murgh_kebab_oven_roast,nonveg_main,gravy_region,no word its siblings agree about
bangalore,achari_murgh_kebab_oven_roast,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,ada_pradanam,dessert,key_ingredient,no word its siblings agree about
bangalore,adai_dosa_with_chutney,bread,sub_category,no word its siblings agree about
bangalore,afghani_anda_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,afghani_chicken,nonveg_main,gravy_region,no word its siblings agree about
bangalore,afghani_chicken,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,afghani_chicken_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,afghani_murgh_masala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,afghani_veg_biryani,rice,flavoured_rice_region,no word its siblings agree about
bangalore,agalkayi_masala_palya,veg_dry,key_ingredient,no word its siblings agree about
bangalore,agalkayi_palya,veg_dry,key_ingredient,no word its siblings agree about
bangalore,ajwain_chicken_masala,nonveg_main,gravy_region,no word its siblings agree about
bangalore,ajwain_chicken_masala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,ajwain_paratha,bread,sub_category,no word its siblings agree about
bangalore,ajwaini_anda_masala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,ajwaini_chicken_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,ajwani_puri,bread,key_ingredient,no word its siblings agree about
bangalore,ajwani_puri,bread,sub_category,no word its siblings agree about
bangalore,ajwini_chicken_masala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,akki_payasam,dessert,key_ingredient,no word its siblings agree about
bangalore,alasande_usili,veg_dry,key_ingredient,no word its siblings agree about
bangalore,alleppey_chicken_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,aloo_black_chana_kurma,veg_gravy,gravy_region,no word its siblings agree about
bangalore,aloo_chicken_curry,nonveg_main,gravy_region,no word its siblings agree about
bangalore,aloo_chicken_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,aloo_dum_chicken_biryani,nonveg_main,gravy_region,no word its siblings agree about
bangalore,alsande_kalu_palya,veg_dry,key_ingredient,no word its siblings agree about
bangalore,ambur_chicken_biryani,nonveg_main,gravy_region,no word its siblings agree about
bangalore,ambur_dum_biryani,nonveg_main,gravy_region,no word its siblings agree about
bangalore,amla_juice,welcome_drink,drink_rule_group,no word its siblings agree about
bangalore,amla_juice,welcome_drink,key_ingredient,no word its siblings agree about
bangalore,amritsari_chicken,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,amritsari_chicken_fry,nonveg_main,gravy_region,no word its siblings agree about
bangalore,amritsari_chicken_fry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,amritsari_chicken_korma,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,amritsari_chicken_masala,nonveg_main,gravy_region,no word its siblings agree about
bangalore,amritsari_chicken_masala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,anda_curry_dry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,anda_ghotala,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,anda_kalimirch,nonveg_main,nonveg_biryani_region,no word its siblings agree about
